State,Quota,Adams,Huntington,Webster,Hamilton,Jefferson,Disagree
California,51.99471692,50,52,52,52,54,Yes
Texas,38.34010205,37,38,38,38,40,Yes
Florida,28.33868993,27,28,28,28,29,Yes
New York,26.55882721,26,26,27,27,28,Yes
Pennsylvania,17.09455743,17,17,17,17,18,Yes
Illinois,16.84611714,16,17,17,17,17,Yes
Ohio,15.51409856,15,15,16,16,16,Yes
Georgia,14.09053262,14,14,14,14,14,
North Carolina,13.73407293,14,14,14,14,14,
Michigan,13.2486274,13,13,13,13,13,
New Jersey,12.21081688,12,12,12,12,12,
Virginia,11.37006909,11,11,11,11,11,
Washington,10.13697075,10,10,10,10,10,
Arizona,9.405171192,9,9,9,9,9,
Massachusetts,9.240353615,9,9,9,9,9,
Tennessee,9.087204934,9,9,9,9,9,
Indiana,8.920859443,9,9,9,9,9,
Maryland,8.126026563,8,8,8,8,8,
Missouri,8.093186279,8,8,8,8,8,
Wisconsin,7.747917273,8,8,8,8,8,
Colorado,7.596437078,8,8,8,8,8,
Minnesota,7.50129524,8,8,8,8,7,Yes
South Carolina,6.732687818,7,7,7,7,7,
Alabama,6.608327757,7,7,7,7,6,Yes
Louisiana,6.124092206,6,6,6,6,6,
Kentucky,5.924233781,6,6,6,6,6,
Oregon,5.572351262,6,6,6,6,5,Yes
Oklahoma,5.207144497,5,5,5,5,5,
Connecticut,4.740470096,5,5,5,5,5,
Utah,4.302924582,5,4,4,4,4,Yes
Iowa,4.194084075,4,4,4,4,4,
Nevada,4.083801049,4,4,4,4,4,
Arkansas,3.959379241,4,4,4,4,4,
Mississippi,3.893898366,4,4,4,4,4,
Kansas,3.863617304,4,4,4,4,4,
New Mexico,2.785479333,3,3,3,3,2,Yes
Nebraska,2.579366054,3,3,3,3,2,Yes
Idaho,2.419144041,3,2,2,2,2,Yes
West Virginia,2.358274495,3,2,2,2,2,Yes
Hawaii,1.918282743,2,2,2,2,2,
New Hampshire,1.811804392,2,2,2,2,1,Yes
Maine,1.791431776,2,2,2,2,1,Yes
Rhode Island,1.442732519,2,2,1,1,1,Yes
Montana,1.425974081,2,2,1,1,1,Yes
Delaware,1.301730946,2,1,1,1,1,Yes
South Dakota,1.166324715,2,1,1,1,1,Yes
North Dakota,1.024348326,1,1,1,1,1,
Alaska,0.967040408,1,1,1,1,1,
Vermont,0.8454143,1,1,1,1,1,
Wyoming,0.758989319,1,1,1,1,1,
