State,2020 Population,Huntington-Hill # Seats,Ideal # Seats,Rounded Ideal # Seats,Difference
California,39576757,52,51.99,52,0
Texas,29183290,38,38.34,38,0
Florida,21570527,28,28.34,28,0
New York,20215751,26,26.56,27,-1
Pennsylvania,13011844,17,17.09,17,0
Illinois,12822739,17,16.85,17,0
Ohio,11808848,15,15.51,16,-1
Georgia,10725274,14,14.09,14,0
North Carolina,10453948,14,13.73,14,0
Michigan,10084442,13,13.25,13,0
New Jersey,9294493,12,12.21,12,0
Virginia,8654542,11,11.37,11,0
Washington,7715946,10,10.14,10,0
Arizona,7158923,9,9.41,9,0
Massachusetts,7033469,9,9.24,9,0
Tennessee,6916897,9,9.09,9,0
Indiana,6790280,9,8.92,9,0
Maryland,6185278,8,8.13,8,0
Missouri,6160281,8,8.09,8,0
Wisconsin,5897473,8,7.75,8,0
Colorado,5782171,8,7.60,8,0
Minnesota,5709752,8,7.50,8,0
South Carolina,5124712,7,6.73,7,0
Alabama,5030053,7,6.61,7,0
Louisiana,4661468,6,6.12,6,0
Kentucky,4509342,6,5.92,6,0
Oregon,4241500,6,5.57,6,0
Oklahoma,3963516,5,5.21,5,0
Connecticut,3608298,5,4.74,5,0
Utah,3275252,4,4.30,4,0
Iowa,3192406,4,4.19,4,0
Nevada,3108462,4,4.08,4,0
Arkansas,3013756,4,3.96,4,0
Mississippi,2963914,4,3.89,4,0
Kansas,2940865,4,3.86,4,0
New Mexico,2120220,3,2.79,3,0
Nebraska,1963333,3,2.58,3,0
Idaho,1841377,2,2.42,2,0
West Virginia,1795045,2,2.36,2,0
Hawaii,1460137,2,1.92,2,0
New Hampshire,1379089,2,1.81,2,0
Maine,1363582,2,1.79,2,0
Rhode Island,1098163,2,1.44,1,1
Montana,1085407,2,1.43,1,1
Delaware,990837,1,1.30,1,0
South Dakota,887770,1,1.17,1,0
North Dakota,779702,1,1.02,1,0
Alaska,736081,1,0.97,1,0
Vermont,643503,1,0.85,1,0
Wyoming,577719,1,0.76,1,0
TOTAL,331108434,435,435,435,0
